ds,y
2018-04-30,296
2018-05-31,302
2018-06-30,283
2018-07-31,264
2018-08-31,281
2018-09-30,255
2018-10-31,243
2018-11-30,217
2018-12-31,217
2019-01-31,220
2019-02-28,231
2019-03-31,288
2019-04-30,273
2019-05-31,352
2019-06-30,314
2019-07-31,245
2019-08-31,220
2019-09-30,262
2019-10-31,255
2019-11-30,229
2019-12-31,192
2020-01-31,191
2020-02-29,219
2020-03-31,201
2020-04-30,277
2020-05-31,430
2020-06-30,437
2020-07-31,378
2020-08-31,362
2020-09-30,370
2020-10-31,325
2020-11-30,300
2020-12-31,266
2021-01-31,266
2021-02-28,262
2021-03-31,369
2021-04-30,431
2021-05-31,368
2021-06-30,521
2021-07-31,357
2021-08-31,333
